Date,Price,Open,High,Low,Change %
4-Jul-18,1256.95,1252.14,1261.44,1251.81,0.32%
3-Jul-18,1252.93,1242.13,1257.31,1237.71,0.88%
2-Jul-18,1241.97,1253.49,1254.48,1239.45,-0.88%
29-Jun-18,1253.00,1247.99,1256.04,1246.06,0.38%
28-Jun-18,1248.28,1251.96,1254.42,1245.67,-0.30%
27-Jun-18,1252.02,1258.28,1260.23,1250.64,-0.55%
26-Jun-18,1258.98,1266.11,1268.04,1254.54,-0.55%
25-Jun-18,1266.00,1271.74,1272.90,1264.20,-0.26%
22-Jun-18,1269.28,1267.30,1271.27,1266.48,0.16%
21-Jun-18,1267.20,1268.34,1270.47,1261.23,-0.07%
20-Jun-18,1268.10,1274.81,1276.59,1267.60,-0.52%
19-Jun-18,1274.77,1278.56,1284.43,1270.28,-0.28%
18-Jun-18,1278.31,1279.15,1281.92,1276.94,-0.12%
15-Jun-18,1279.84,1302.26,1303.33,1275.30,-1.72%
14-Jun-18,1302.22,1299.84,1309.64,1297.32,0.19%
13-Jun-18,1299.71,1295.98,1301.44,1292.42,0.29%
12-Jun-18,1295.97,1300.42,1300.81,1292.97,-0.32%
11-Jun-18,1300.15,1299.40,1302.50,1293.96,0.11%
8-Jun-18,1298.75,1297.03,1300.93,1293.84,0.13%
7-Jun-18,1297.13,1296.98,1303.30,1294.87,0.01%
6-Jun-18,1297.00,1296.58,1302.10,1293.77,0.07%
5-Jun-18,1296.14,1292.34,1300.81,1289.77,0.32%
4-Jun-18,1291.98,1293.16,1298.26,1290.18,-0.09%
1-Jun-18,1293.15,1298.79,1300.66,1289.34,-0.40%
31-May-18,1298.32,1301.56,1306.69,1297.75,-0.24%
30-May-18,1301.48,1299.20,1304.55,1295.66,0.20%
29-May-18,1298.85,1298.15,1306.46,1293.62,0.06%
28-May-18,1298.10,1298.93,1300.30,1295.41,-0.27%
25-May-18,1301.61,1304.42,1307.95,1299.81,-0.25%
24-May-18,1304.88,1294.08,1306.77,1292.68,0.86%
23-May-18,1293.75,1291.18,1298.01,1288.02,0.19%
22-May-18,1291.32,1292.93,1296.28,1287.78,-0.10%
21-May-18,1292.68,1290.90,1293.38,1282.00,0.01%
18-May-18,1292.50,1290.74,1294.44,1286.02,0.12%
17-May-18,1291.00,1290.57,1294.59,1285.64,0.00%
16-May-18,1291.03,1289.98,1297.13,1286.37,0.03%
15-May-18,1290.65,1313.13,1315.06,1288.56,-1.69%
14-May-18,1312.82,1318.55,1322.58,1312.75,-0.41%
11-May-18,1318.22,1321.44,1326.17,1317.63,-0.24%
10-May-18,1321.40,1312.06,1322.94,1310.74,0.66%
9-May-18,1312.78,1314.51,1317.61,1304.34,-0.13%
8-May-18,1314.47,1313.59,1317.86,1305.99,0.01%
7-May-18,1314.30,1315.05,1319.08,1310.15,-0.06%
4-May-18,1315.05,1312.31,1315.47,1308.08,0.23%
3-May-18,1312.09,1304.78,1318.23,1304.60,0.56%
2-May-18,1304.84,1304.20,1313.59,1303.79,0.07%
1-May-18,1303.97,1315.40,1316.56,1301.74,-0.87%
30-Apr-18,1315.35,1322.80,1325.17,1310.29,-0.56%
27-Apr-18,1322.80,1317.07,1325.41,1315.45,0.42%
26-Apr-18,1317.28,1322.91,1326.80,1315.24,-0.46%
25-Apr-18,1323.33,1330.64,1332.26,1318.76,-0.55%
24-Apr-18,1330.68,1324.74,1332.86,1322.51,0.43%
23-Apr-18,1325.00,1335.19,1335.66,1322.04,-0.76%
20-Apr-18,1335.13,1346.22,1346.47,1334.86,-0.78%
19-Apr-18,1345.60,1349.38,1354.95,1340.94,-0.28%
18-Apr-18,1349.32,1347.53,1355.90,1342.07,0.15%
17-Apr-18,1347.29,1345.82,1349.61,1337.59,0.10%
16-Apr-18,1345.92,1344.60,1350.73,1340.07,0.03%
13-Apr-18,1345.46,1335.17,1347.31,1335.17,0.75%
12-Apr-18,1335.48,1352.68,1353.42,1333.74,-1.32%
11-Apr-18,1353.29,1339.69,1365.37,1339.48,0.99%
10-Apr-18,1340.05,1336.37,1342.79,1331.11,0.28%
9-Apr-18,1336.24,1333.21,1338.16,1326.80,0.23%
6-Apr-18,1333.19,1326.70,1335.49,1321.28,0.50%
5-Apr-18,1326.55,1333.03,1335.10,1322.63,-0.51%
4-Apr-18,1333.34,1332.89,1348.27,1331.44,0.04%
3-Apr-18,1332.82,1340.86,1342.68,1328.93,-0.64%
2-Apr-18,1341.35,1326.21,1345.03,1324.76,1.23%
29-Mar-18,1325.00,1324.94,1328.54,1321.33,0.00%
28-Mar-18,1324.99,1345.74,1347.23,1323.42,-1.47%
27-Mar-18,1344.71,1353.51,1356.87,1339.93,-0.65%
26-Mar-18,1353.46,1347.90,1356.13,1343.40,0.46%
23-Mar-18,1347.22,1329.33,1350.41,1328.98,1.37%
22-Mar-18,1328.95,1332.18,1335.01,1324.73,-0.24%
21-Mar-18,1332.18,1311.20,1336.79,1309.80,1.60%
20-Mar-18,1311.21,1317.23,1318.48,1307.13,-0.44%
19-Mar-18,1316.94,1313.94,1319.86,1307.71,0.22%
16-Mar-18,1314.00,1316.56,1321.86,1309.56,-0.17%
15-Mar-18,1316.26,1324.62,1328.06,1314.86,-0.66%
14-Mar-18,1325.00,1326.45,1330.27,1321.58,-0.11%
13-Mar-18,1326.40,1322.90,1328.48,1316.55,0.25%
12-Mar-18,1323.05,1323.69,1324.52,1315.18,-0.05%
9-Mar-18,1323.70,1322.33,1325.33,1313.06,0.10%
8-Mar-18,1322.34,1325.49,1329.22,1318.98,-0.24%
7-Mar-18,1325.54,1334.51,1340.68,1322.24,-0.67%
6-Mar-18,1334.46,1320.03,1338.72,1319.72,1.09%
5-Mar-18,1320.02,1323.78,1328.02,1317.43,-0.17%
2-Mar-18,1322.20,1316.54,1325.65,1315.12,0.43%
1-Mar-18,1316.55,1318.22,1321.16,1302.76,-0.11%
28-Feb-18,1318.05,1318.20,1322.64,1315.59,-0.01%
27-Feb-18,1318.20,1333.14,1336.90,1313.47,-1.12%
26-Feb-18,1333.16,1327.92,1341.06,1326.59,0.32%
23-Feb-18,1328.94,1331.81,1332.42,1325.73,-0.19%
22-Feb-18,1331.51,1323.94,1332.34,1320.84,0.55%
21-Feb-18,1324.26,1329.48,1336.27,1322.36,-0.39%
20-Feb-18,1329.49,1346.77,1348.36,1328.39,-1.28%
19-Feb-18,1346.69,1347.67,1351.34,1345.82,-0.09%
16-Feb-18,1347.86,1353.31,1361.97,1344.82,-0.40%
15-Feb-18,1353.30,1350.78,1357.18,1348.41,0.19%
14-Feb-18,1350.76,1329.53,1355.57,1319.42,1.60%
13-Feb-18,1329.55,1322.29,1330.96,1321.39,0.50%
12-Feb-18,1322.88,1315.04,1326.20,1314.11,0.47%
9-Feb-18,1316.69,1318.87,1322.71,1311.06,-0.17%
8-Feb-18,1318.97,1318.61,1322.17,1306.90,0.04%
7-Feb-18,1318.49,1325.16,1332.49,1312.05,-0.49%
6-Feb-18,1325.02,1339.68,1346.08,1320.04,-1.09%
5-Feb-18,1339.60,1332.32,1341.70,1328.88,0.50%
2-Feb-18,1332.98,1349.16,1350.12,1327.21,-1.20%
1-Feb-18,1349.19,1345.40,1351.42,1337.30,0.30%
31-Jan-18,1345.10,1338.87,1347.93,1332.70,0.49%
30-Jan-18,1338.55,1340.67,1349.12,1334.48,-0.13%
29-Jan-18,1340.35,1350.07,1352.65,1337.74,-0.73%
26-Jan-18,1350.14,1348.36,1357.39,1344.38,0.16%
25-Jan-18,1348.05,1358.48,1366.47,1343.10,-0.74%
24-Jan-18,1358.15,1341.45,1361.88,1339.27,1.25%
23-Jan-18,1341.39,1334.45,1342.22,1331.54,0.55%
22-Jan-18,1334.11,1334.88,1336.04,1328.71,0.17%
19-Jan-18,1331.80,1327.49,1338.37,1326.46,0.35%
18-Jan-18,1327.19,1327.75,1333.14,1323.79,-0.04%
17-Jan-18,1327.73,1338.29,1343.99,1326.73,-0.81%
16-Jan-18,1338.61,1340.06,1342.35,1331.73,-0.12%
15-Jan-18,1340.16,1337.05,1344.93,1336.14,0.13%
12-Jan-18,1338.40,1322.82,1339.40,1321.16,1.21%
11-Jan-18,1322.42,1316.89,1323.98,1315.49,0.40%
10-Jan-18,1317.19,1313.28,1326.94,1308.29,0.35%
9-Jan-18,1312.66,1320.63,1320.68,1308.80,-0.60%
8-Jan-18,1320.58,1320.04,1322.22,1314.97,0.03%
5-Jan-18,1320.21,1323.50,1323.83,1313.81,-0.21%
4-Jan-18,1322.97,1312.53,1325.92,1305.67,0.77%
3-Jan-18,1312.84,1318.16,1321.40,1307.16,-0.40%
2-Jan-18,1318.14,1302.55,1318.98,1302.51,0.86%
1-Jan-18,1306.86,1303.43,1307.72,1302.43,0.33%
29-Dec-17,1302.55,1294.85,1307.69,1293.59,0.60%
28-Dec-17,1294.84,1287.31,1295.30,1286.66,0.58%
27-Dec-17,1287.41,1283.64,1289.40,1281.46,0.32%
26-Dec-17,1283.29,1274.91,1283.77,1273.25,0.63%
25-Dec-17,1275.24,1275.24,1275.24,1275.24,0.02%
22-Dec-17,1275.01,1267.12,1276.38,1265.10,0.65%
21-Dec-17,1266.76,1265.62,1268.97,1263.02,0.09%
20-Dec-17,1265.62,1261.69,1267.84,1261.23,0.31%
19-Dec-17,1261.72,1261.70,1265.26,1258.97,0.00%
18-Dec-17,1261.69,1253.79,1264.37,1252.68,0.51%
15-Dec-17,1255.26,1252.83,1261.89,1251.94,0.19%
14-Dec-17,1252.85,1255.54,1259.18,1249.92,-0.21%
13-Dec-17,1255.45,1243.88,1256.95,1240.06,0.93%
12-Dec-17,1243.85,1242.25,1246.62,1236.31,0.15%
11-Dec-17,1241.96,1247.28,1251.67,1240.19,-0.50%
8-Dec-17,1248.14,1247.34,1252.66,1244.34,0.12%
7-Dec-17,1246.70,1264.26,1264.82,1244.11,-1.36%
6-Dec-17,1263.94,1266.62,1269.32,1262.39,-0.21%
5-Dec-17,1266.55,1276.54,1277.41,1261.11,-0.76%
4-Dec-17,1276.23,1272.93,1277.24,1271.80,-0.31%
1-Dec-17,1280.26,1274.29,1289.58,1271.58,0.43%
30-Nov-17,1274.76,1283.88,1285.70,1270.51,-0.69%
29-Nov-17,1283.57,1293.90,1296.75,1281.98,-0.81%
28-Nov-17,1294.01,1294.85,1297.74,1291.01,-0.04%
27-Nov-17,1294.50,1288.57,1299.20,1286.47,0.49%
24-Nov-17,1288.22,1291.51,1293.61,1286.15,-0.23%
23-Nov-17,1291.25,1292.40,1293.46,1287.46,-0.07%
22-Nov-17,1292.12,1280.38,1294.75,1278.77,0.91%
21-Nov-17,1280.48,1276.70,1284.87,1276.08,0.30%
20-Nov-17,1276.70,1292.68,1294.80,1274.92,-1.37%
17-Nov-17,1294.37,1278.44,1297.04,1277.94,1.24%
16-Nov-17,1278.47,1278.47,1281.60,1274.98,-0.03%
